吧;ba;(suggestion)
白;bái;white
百;bǎi;hundred
帮助;bāng zhù;to help
比;bǐ;to compare with
别;bié;do not
长;zhǎng;long
唱歌;chàng gē;to sing
出;chū;to go out
穿;chuān;to wear
船;chuán;boat
次;cì;time
从;cóng;from
错;cuò;wrong
打篮球;dǎ lán qiú;to play basketball
大家;dà jiā;everyone
但是;dàn shì;but
到;dào;to arrive
地;dì;(adverbial particle)
得;děi;(adverbial particle)
等;děng;to wait
弟弟;dì di;younger brother
第一;dì yī;first
对;duì;right
对;duì;towards
房间;fáng jiān;room
非常;fēi cháng;very
分钟;fēn zhōng;minute
服务员;fú wù yuán;waiter
高;gāo;tall
告诉;gào sù;to tell
哥哥;gē ge;older brother
给;gěi;to give
公共汽车;gōng gòng qì chē;bus
公斤;gōng jīn;kilogram
公司;gōng sī;company
贵;guì;expensive
过;guò;(perfect tense)
还;huán;still
孩子;hái zi;child
好吃;hǎo chī;delicious
号;hào;number
黑;hēi;black
红;hóng;red
欢迎;huān yíng;to welcome
回答;huí dá;to answer
机场;jī chǎng;airport
鸡蛋;jī dàn;egg
件;jiàn;measure word for clothing or matters
教室;jiào shì;classroom
姐姐;jiě jie;older sister
介绍;jiè shào;to introduce
进;jìn;to enter
近;jìn;close
就;jiù;only
觉得;jué de;to think
咖啡;kā fēi;coffee
开始;kāi shǐ;to begin
考试;kǎo shì;exam
可能;kě néng;to be possible
可以;kě yǐ;can
课;kè;lesson
快;kuài;quick
快乐;kuài lè;happy
累;lèi;tired
离;lí;from
两;liǎng;two
路;lù;road
旅游;lǚ yóu;to travel
慢;màn;slow
忙;máng;busy
每;měi;every
妹妹;mèi mei;younger sister
男人;nán rén;man
您;nín;you
牛奶;niú nǎi;milk
女人;nǚ rén;woman
旁边;páng biān;side
跑步;pǎo bù;to run
便宜;pián yi;cheap
票;piào;ticket
漂亮;piào liang;beautiful
妻子;qī zi;wife
起床;qǐ chuáng;to get up
千;qiān;thousand
晴;qíng;sunny
去年;qù nián;last year
让;ràng;to let
上班;shàng bān;to go to work
身体;shēn tǐ;body, health
生病;shēng bìng;to get sick
生日;shēng rì;birthday
时间;shí jiān;time
事情;shì qing;matter
手表;shǒu biǎo;watch
送;sòng;to give, to send
所以;suǒ yǐ;so
它;tā;it
踢足球;tī zú qiú;to play football
题;tí;question
跳舞;tiào wǔ;to dance
外;wài;outside
玩;wán;to play
完;wán;to finish
晚上;wǎn shang;evening
喂;wèi;hey
为什么;wèi shén me;why
问;wèn;to ask
问题;wèn tí;question
西瓜;xī guā;watermelon
希望;xī wàng;to hope
洗;xǐ;to wash
向;xiàng;towards
小时;xiǎo shí;hour
笑;xiào;to smile
新;xīn;new
姓;xìng;family name
休息;xiū xi;to rest
雪;xuě;snow
颜色;yán sè;color
眼睛;yǎn jing;eye
羊肉;yáng ròu;lamb
药;yào;medicine
要;yào;to want, will
也;yě;also
已经;yǐ jing;already
一起;yī qǐ;together
意思;yì si;meaning
阴;yīn;cloudy
因为;yīn wèi;because
游泳;yóu yǒng;to swim
右边;yòu bian;right side
鱼;yú;fish
元;yuán;yuan
远;yuǎn;far
运动;yùn dòng;to work out
再;zài;again
早上;zǎo shang;morning
张;zhāng;piece
丈夫;zhàng fu;husband
找;zhǎo;to look for
着;zhuó;(continuing tense)
真;zhēn;really
正在;zhèng zài;currently
知道;zhī dào;to know
准备;zhǔn bèi;to prepare
自行车;zì xíng chē;bicycle
走;zǒu;to walk
最;zuì;most
左边;zuǒ bian;left side
